,year,new_sp,new_sp_male,new_sp_female
0,1980,8350.0,622.0,337.0
1,1981,7887.0,514.0,291.0
2,1982,7206.0,531.0,293.0
3,1983,7437.0,491.0,295.0
4,1984,11024.0,503.0,311.0
5,1985,13130.0,513.0,286.0
6,1986,14635.0,482.0,272.0
7,1987,21743.0,423.0,247.0
8,1988,24665.0,433.0,249.0
9,1989,25060.0,410.0,244.0
10,1990,28636.0,345.0,204.0
11,1991,29164.0,359.0,185.0
12,1992,32811.0,327.0,185.0
13,1993,811476.0,293.0,199.0
14,1994,917813.0,458.0,292.0
15,1995,1175290.0,324830.0,189141.0
16,1996,1331989.0,403806.0,231899.0
17,1997,1371331.0,469248.0,263956.0
18,1998,1414648.0,532139.0,308250.0
19,1999,1507579.0,631714.0,362803.0
20,2000,1535217.0,736069.0,411750.0
21,2001,1621460.0,793163.0,441320.0
22,2002,1726396.0,971873.0,550829.0
23,2003,1948797.0,1194204.0,665782.0
24,2004,2223480.0,1406617.0,777647.0
25,2005,2413759.0,1516263.0,844100.0
26,2006,2537916.0,1624240.0,890398.0
27,2007,2580700.0,1674409.0,909662.0
28,2008,2655825.0,1716212.0,932377.0
